Provinsi,Pengangguran terbuka,IPM,PDRB,Angka harapan hidup,Lama sekolah,Penduduk Miskin (kota),Penduduk miskin (desa),KODE
ACEH,6.17,72.8,39156.01,70.005,9.79,10.33,16.965,11
SUMATERA UTARA,6.16,72.71,63194.18,69.28,9.99,8.695,7.97,12
SUMATERA BARAT,6.28,73.26,50593.41,69.635,9.51,4.925,7.03,13
RIAU,4.37,73.52,149914.13,71.72,9.54,6.415,7.075,14
JAMBI,4.59,72.14,76096.4,71.26,9.07,10.495,6.255,15
SUMATERA SELATAN,4.63,70.9,68338.1,70.03,8.82,11.3,12.305,16
BENGKULU,3.59,72.16,43741.71,69.47,9.28,14.705,14.365,17
LAMPUNG,4.52,70.45,45129.34,70.775,8.61,8.325,13.05,18
KEP. BANGKA BELITUNG,4.77,72.24,63752.24,70.78,8.57,3.285,6.195,19
KEP. RIAU,8.23,76.46,141682.65,70.155,10.46,5.57,10.655,21
DKI JAKARTA,7.18,81.65,298359.97,73.06,11.3,4.65,,31
JAWA BARAT,8.31,73.12,49038.41,73.38,9.14,7.545,9.815,32
JAWA TENGAH,5.57,72.79,42149.54,74.515,8.38,9.97,12.045,33
DI YOGYAKARTA,4.06,80.64,44044.64,75.08,10.07,10.6,13.825,34
JAWA TIMUR,5.49,72.75,66364.73,71.43,8.5,7.745,13.795,35
BANTEN,8.09,73.32,60990.14,70.07,9.46,5.81,7.375,36
BALI,4.8,76.44,55544.66,72.28,9.74,4.175,5.485,51
NUSA TENGGARA BARAT,2.89,69.46,28672.54,66.735,8.31,14.04,13.45,52
NUSA TENGGARA TIMUR,3.54,65.9,21718.26,67.195,8.25,8.92,23.985,53
KALIMANTAN BARAT,5.11,68.63,46161.33,70.805,8.1,4.535,8.08,61
KALIMANTAN TENGAH,4.26,71.63,72945.07,69.805,9.03,5.13,5.34,62
KALIMANTAN SELATAN,4.74,71.84,60079.32,68.88,8.89,3.835,5.24,63
KALIMANTAN TIMUR,5.71,77.44,238700.72,74.65,10.13,4.885,9.675,64
KALIMANTAN UTARA,4.33,71.83,190611.1,72.585,9.45,5.62,8.95,65
SULAWESI UTARA,6.61,73.81,59043.36,71.805,9.87,5.09,9.965,71
SULAWESI TENGAH,3,70.28,105545.36,68.88,9.17,9.08,13.83,72
SULAWESI SELATAN,4.51,72.82,65593.03,70.71,9.09,5.025,11.72,73
SULAWESI TENGGARA,3.36,72.23,58764.27,71.36,9.59,7.085,13.585,74
GORONTALO,2.58,69.81,39886.78,68.24,8.39,4.23,24.47,75
SULAWESI BARAT,2.34,66.92,37070.31,65.29,8.47,9.545,12.42,76
MALUKU,6.88,70.22,28533.85,66.14,10.37,5.86,24.02,81
MALUKU UTARA,3.98,69.47,53741.05,68.495,9.6,5.675,6.555,82
PAPUA BARAT,5.37,65.89,77149.68,66.19,10.14,7.3,31.77,92
PAPUA,2.83,61.39,59411.79,65.97,7.31,5.155,35.535,91
